filename,split,class,stage
healthy_leaf_170.jpg,train,healthy,Healthy
healthy_leaf_098.jpg,train,healthy,Healthy
healthy_leaf_032.jpg,train,healthy,Healthy
healthy_leaf_013.jpg,train,healthy,Healthy
healthy_leaf_036.jpg,train,healthy,Healthy
healthy_leaf_120.jpg,train,healthy,Healthy
healthy_leaf_043.jpg,train,healthy,Healthy
healthy_leaf_190.jpg,train,healthy,Healthy
healthy_leaf_091.jpg,train,healthy,Healthy
healthy_leaf_137.jpg,train,healthy,Healthy
healthy_leaf_052.jpg,train,healthy,Healthy
healthy_leaf_128.jpg,train,healthy,Healthy
healthy_leaf_163.jpg,train,healthy,Healthy
healthy_leaf_042.jpg,train,healthy,Healthy
healthy_leaf_119.jpg,train,healthy,Healthy
healthy_leaf_114.jpg,train,healthy,Healthy
healthy_leaf_027.jpg,train,healthy,Healthy
healthy_leaf_140.jpg,train,healthy,Healthy
healthy_leaf_101.jpg,train,healthy,Healthy
healthy_leaf_112.jpg,train,healthy,Healthy
healthy_leaf_003.jpg,train,healthy,Healthy
healthy_leaf_078.jpg,train,healthy,Healthy
healthy_leaf_047.jpg,train,healthy,Healthy
healthy_leaf_188.jpg,train,healthy,Healthy
healthy_leaf_192.jpg,train,healthy,Healthy
healthy_leaf_086.jpg,train,healthy,Healthy
healthy_leaf_162.jpg,train,healthy,Healthy
healthy_leaf_037.jpg,train,healthy,Healthy
healthy_leaf_191.jpg,train,healthy,Healthy
healthy_leaf_062.jpg,train,healthy,Healthy
healthy_leaf_023.jpg,train,healthy,Healthy
healthy_leaf_142.jpg,train,healthy,Healthy
healthy_leaf_102.jpg,train,healthy,Healthy
healthy_leaf_034.jpg,train,healthy,Healthy
healthy_leaf_012.jpg,train,healthy,Healthy
healthy_leaf_195.jpg,train,healthy,Healthy
healthy_leaf_160.jpg,train,healthy,Healthy
healthy_leaf_007.jpg,train,healthy,Healthy
healthy_leaf_028.jpg,train,healthy,Healthy
healthy_leaf_121.jpg,train,healthy,Healthy
healthy_leaf_005.jpg,train,healthy,Healthy
healthy_leaf_033.jpg,train,healthy,Healthy
healthy_leaf_143.jpg,train,healthy,Healthy
healthy_leaf_146.jpg,train,healthy,Healthy
healthy_leaf_110.jpg,train,healthy,Healthy
healthy_leaf_145.jpg,train,healthy,Healthy
healthy_leaf_011.jpg,train,healthy,Healthy
healthy_leaf_063.jpg,train,healthy,Healthy
healthy_leaf_113.jpg,train,healthy,Healthy
healthy_leaf_147.jpg,train,healthy,Healthy
healthy_leaf_167.jpg,train,healthy,Healthy
healthy_leaf_001.jpg,train,healthy,Healthy
healthy_leaf_199.jpg,train,healthy,Healthy
healthy_leaf_154.jpg,train,healthy,Healthy
healthy_leaf_071.jpg,train,healthy,Healthy
healthy_leaf_124.jpg,train,healthy,Healthy
healthy_leaf_065.jpg,train,healthy,Healthy
healthy_leaf_045.jpg,train,healthy,Healthy
healthy_leaf_164.jpg,train,healthy,Healthy
healthy_leaf_029.jpg,train,healthy,Healthy
healthy_leaf_041.jpg,train,healthy,Healthy
healthy_leaf_109.jpg,train,healthy,Healthy
healthy_leaf_156.jpg,train,healthy,Healthy
healthy_leaf_157.jpg,train,healthy,Healthy
healthy_leaf_026.jpg,train,healthy,Healthy
healthy_leaf_024.jpg,train,healthy,Healthy
healthy_leaf_185.jpg,train,healthy,Healthy
healthy_leaf_148.jpg,train,healthy,Healthy
healthy_leaf_082.jpg,train,healthy,Healthy
healthy_leaf_040.jpg,train,healthy,Healthy
healthy_leaf_169.jpg,train,healthy,Healthy
healthy_leaf_048.jpg,train,healthy,Healthy
healthy_leaf_095.jpg,train,healthy,Healthy
healthy_leaf_155.jpg,train,healthy,Healthy
healthy_leaf_044.jpg,train,healthy,Healthy
healthy_leaf_139.jpg,train,healthy,Healthy
healthy_leaf_004.jpg,train,healthy,Healthy
healthy_leaf_106.jpg,train,healthy,Healthy
healthy_leaf_054.jpg,train,healthy,Healthy
healthy_leaf_134.jpg,train,healthy,Healthy
healthy_leaf_181.jpg,train,healthy,Healthy
healthy_leaf_179.jpg,train,healthy,Healthy
healthy_leaf_186.jpg,train,healthy,Healthy
healthy_leaf_050.jpg,train,healthy,Healthy
healthy_leaf_081.jpg,train,healthy,Healthy
healthy_leaf_035.jpg,train,healthy,Healthy
healthy_leaf_008.jpg,train,healthy,Healthy
healthy_leaf_111.jpg,train,healthy,Healthy
healthy_leaf_092.jpg,train,healthy,Healthy
healthy_leaf_084.jpg,train,healthy,Healthy
healthy_leaf_177.jpg,train,healthy,Healthy
healthy_leaf_182.jpg,train,healthy,Healthy
healthy_leaf_090.jpg,train,healthy,Healthy
healthy_leaf_009.jpg,train,healthy,Healthy
healthy_leaf_014.jpg,train,healthy,Healthy
healthy_leaf_060.jpg,train,healthy,Healthy
healthy_leaf_172.jpg,train,healthy,Healthy
healthy_leaf_132.jpg,train,healthy,Healthy
healthy_leaf_018.jpg,train,healthy,Healthy
healthy_leaf_073.jpg,train,healthy,Healthy
healthy_leaf_176.jpg,train,healthy,Healthy
healthy_leaf_135.jpg,train,healthy,Healthy
healthy_leaf_168.jpg,train,healthy,Healthy
healthy_leaf_184.jpg,train,healthy,Healthy
healthy_leaf_064.jpg,train,healthy,Healthy
healthy_leaf_055.jpg,train,healthy,Healthy
healthy_leaf_108.jpg,train,healthy,Healthy
healthy_leaf_051.jpg,train,healthy,Healthy
healthy_leaf_197.jpg,train,healthy,Healthy
healthy_leaf_059.jpg,train,healthy,Healthy
healthy_leaf_049.jpg,train,healthy,Healthy
healthy_leaf_089.jpg,train,healthy,Healthy
healthy_leaf_022.jpg,train,healthy,Healthy
healthy_leaf_058.jpg,train,healthy,Healthy
healthy_leaf_161.jpg,train,healthy,Healthy
healthy_leaf_193.jpg,train,healthy,Healthy
healthy_leaf_130.jpg,train,healthy,Healthy
healthy_leaf_038.jpg,train,healthy,Healthy
healthy_leaf_158.jpg,train,healthy,Healthy
healthy_leaf_194.jpg,train,healthy,Healthy
healthy_leaf_002.jpg,train,healthy,Healthy
healthy_leaf_053.jpg,train,healthy,Healthy
healthy_leaf_150.jpg,train,healthy,Healthy
healthy_leaf_131.jpg,train,healthy,Healthy
healthy_leaf_152.jpg,train,healthy,Healthy
healthy_leaf_104.jpg,train,healthy,Healthy
healthy_leaf_100.jpg,train,healthy,Healthy
healthy_leaf_117.jpg,train,healthy,Healthy
healthy_leaf_088.jpg,train,healthy,Healthy
healthy_leaf_075.jpg,train,healthy,Healthy
healthy_leaf_122.jpg,train,healthy,Healthy
healthy_leaf_200.jpg,train,healthy,Healthy
healthy_leaf_021.jpg,train,healthy,Healthy
healthy_leaf_189.jpg,train,healthy,Healthy
healthy_leaf_072.jpg,train,healthy,Healthy
healthy_leaf_107.jpg,train,healthy,Healthy
healthy_leaf_015.jpg,train,healthy,Healthy
healthy_leaf_093.jpg,train,healthy,Healthy
healthy_leaf_180.jpg,train,healthy,Healthy
healthy_leaf_103.jpg,train,healthy,Healthy
leaf_rust_170.jpg,train,leaf_rust,Healthy
leaf_rust_098.jpg,train,leaf_rust,Healthy
leaf_rust_032.jpg,train,leaf_rust,Healthy
leaf_rust_013.jpg,train,leaf_rust,Healthy
leaf_rust_036.jpg,train,leaf_rust,Healthy
leaf_rust_120.jpg,train,leaf_rust,Healthy
leaf_rust_043.jpg,train,leaf_rust,Healthy
leaf_rust_190.jpg,train,leaf_rust,Healthy
leaf_rust_091.jpg,train,leaf_rust,Healthy
leaf_rust_137.jpg,train,leaf_rust,Healthy
leaf_rust_052.jpg,train,leaf_rust,Healthy
leaf_rust_128.jpg,train,leaf_rust,Healthy
leaf_rust_163.jpg,train,leaf_rust,Healthy
leaf_rust_042.jpg,train,leaf_rust,Healthy
leaf_rust_119.jpg,train,leaf_rust,Healthy
leaf_rust_114.jpg,train,leaf_rust,Healthy
leaf_rust_027.jpg,train,leaf_rust,Healthy
leaf_rust_140.jpg,train,leaf_rust,Healthy
leaf_rust_101.jpg,train,leaf_rust,Healthy
leaf_rust_112.jpg,train,leaf_rust,Healthy
leaf_rust_003.jpg,train,leaf_rust,Healthy
leaf_rust_078.jpg,train,leaf_rust,Healthy
leaf_rust_047.jpg,train,leaf_rust,Healthy
leaf_rust_188.jpg,train,leaf_rust,Healthy
leaf_rust_192.jpg,train,leaf_rust,Healthy
leaf_rust_086.jpg,train,leaf_rust,Healthy
leaf_rust_162.jpg,train,leaf_rust,Healthy
leaf_rust_037.jpg,train,leaf_rust,Healthy
leaf_rust_191.jpg,train,leaf_rust,Healthy
leaf_rust_062.jpg,train,leaf_rust,Healthy
leaf_rust_023.jpg,train,leaf_rust,Healthy
leaf_rust_142.jpg,train,leaf_rust,Healthy
leaf_rust_102.jpg,train,leaf_rust,Healthy
leaf_rust_034.jpg,train,leaf_rust,Healthy
leaf_rust_012.jpg,train,leaf_rust,Healthy
leaf_rust_195.jpg,train,leaf_rust,Healthy
leaf_rust_160.jpg,train,leaf_rust,Healthy
leaf_rust_007.jpg,train,leaf_rust,Healthy
leaf_rust_028.jpg,train,leaf_rust,Healthy
leaf_rust_121.jpg,train,leaf_rust,Healthy
